"","From","To","age","sex","psi",".lower",".upper",".width",".point",".interval"
"303","WL","RLNWR_N",1,0,0.000370935318470415,0.000270618369953089,0.000492852628789184,0.9,"mean","qi"
"304","WL","RLNWR_N",1,1,0.000673067591791485,0.000520820695793485,0.000856164516946813,0.9,"mean","qi"
"305","WL","RLNWR_S",0,0,0.000504288098889135,0.000379280894998448,0.000645228086011647,0.9,"mean","qi"
"306","WL","RLNWR_S",0,1,0.000922688623470584,0.000665204134405649,0.00117640410665756,0.9,"mean","qi"
"307","WL","RLNWR_S",1,0,0.000779788339141023,0.000590918464674198,0.000984895994714524,0.9,"mean","qi"
"308","WL","RLNWR_S",1,1,0.00141505269500314,0.00116849481369638,0.00169994269805292,0.9,"mean","qi"
"309","WL","WL",0,0,0.993995744510658,0.992533116276698,0.995524074359934,0.9,"mean","qi"
"310","WL","WL",0,1,0.989008532483154,0.986152820415843,0.991803955396882,0.9,"mean","qi"
"311","WL","WL",1,0,0.990728010973723,0.988775821052944,0.992523484543798,0.9,"mean","qi"
"312","WL","WL",1,1,0.983169782966549,0.980905618803721,0.985386315953335,0.9,"mean","qi"
"313","CNWR","BB",0,0,1.33549644354483e-05,8.77162882413555e-06,2.00539207175383e-05,0.9,"mean","qi"
"314","CNWR","BB",0,1,2.44598963551027e-05,1.58850975730884e-05,3.6889054760548e-05,0.9,"mean","qi"
"315","CNWR","BB",1,0,2.06984634010497e-05,1.33380984069079e-05,3.01153006044854e-05,0.9,"mean","qi"
"316","CNWR","BB",1,1,3.76301360655716e-05,2.52788197223261e-05,5.36563543441754e-05,0.9,"mean","qi"
"317","CNWR","BLNWR",0,0,0.000430964712756888,0.000232336985433978,0.000679458972671385,0.9,"mean","qi"
"318","CNWR","BLNWR",0,1,0.000789250908687561,0.000418032082918529,0.00128100064279392,0.9,"mean","qi"
"319","CNWR","BLNWR",1,0,0.000669514471249117,0.000369861555213388,0.0010904482752592,0.9,"mean","qi"
"320","CNWR","BLNWR",1,1,0.00121750533073714,0.000673057071472204,0.00186131703416019,0.9,"mean","qi"
"321","CNWR","BS",0,0,2.75246232786284e-06,1.65815247180628e-06,4.46855608033265e-06,0.9,"mean","qi"
"322","CNWR","BS",0,1,5.04025803232338e-06,2.9586343419002e-06,8.04082249532888e-06,0.9,"mean","qi"
"323","CNWR","BS",1,0,4.27020773361218e-06,2.50244507252534e-06,6.68871053230952e-06,0.9,"mean","qi"
"324","CNWR","BS",1,1,7.76355045068482e-06,4.69135423857953e-06,1.20387567144347e-05,0.9,"mean","qi"
"325","CNWR","CNWR",0,0,0.995326085027535,0.99424783984239,0.996485477082924,0.9,"mean","qi"
"326","CNWR","CNWR",0,1,0.991432912615301,0.98927361780377,0.993645313364485,0.9,"mean","qi"
"327","CNWR","CNWR",1,0,0.992781041502936,0.991386301003318,0.994076075337011,0.9,"mean","qi"
"328","CNWR","CNWR",1,1,0.986873707371535,0.985383157270918,0.988331988019721,0.9,"mean","qi"
"329","CNWR","HB",0,0,0.000216592922575787,0.0001585161848487,0.000284497426636682,0.9,"mean","qi"
"330","CNWR","HB",0,1,0.000396813444451614,0.000286723722609635,0.000522756305969479,0.9,"mean","qi"
